,,Election Co,mmission,,of India -,General E,"lections, 1951 (",1st,LOK S,ABH,A),,,,,
,,,,,,,,,,,,,,,,
,,VOTE,S PO,,LLE,D IN,STATE,S,BY,PA,R,TIES,,,,
,,,,,,,,,,,,,,,,
,,,,,,,SEATS,,,,V,OTES %,OF,,,
,,"STATE/UT, NO",OF,,,,CONT- SEA,TS,FD,IN,P,OLLED V,OTES,,,
,,CONSTITUENC,IES,P,ARTY,,ESTED WO,N,SEA,TS,BY,PARTY P,OLLED,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,A,jmer,,(,Single,Member,:,2 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,BJS,,,1,0,,0,,,28990,16.20%,
,,,,,,,,,,,,,,,,
,,,,,CPI,,,1,0,,0,,,25128,14.04%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,2,2,,0,,,89761,50.15%,
,,,,,,,,,,,,,,,,
,,,,,RRP,,,1,0,,1,,,13624,7.61%,
,,,,,,,,,,,,,,,,
,,,,,PURP,,,1,0,,1,,,10778,6.02%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,2,0,,2,,,10718,5.99%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 8,2,,4,,,178999,,
,,,,,,,,,,,,,,,,
,Bh,opal,,(,Single,Member,:,2 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,HMS,,,1,0,,0,,,34712,20.48%,
,,,,,,,,,,,,,,,,
,,,,,INC,,,2,2,,0,,,97292,57.41%,
,,,,,,,,,,,,,,,,
,,,,,SP,,,1,0,,1,,,3329,1.96%,
,,,,,,,,,,,,,,,,
,,,,,KMM,,,1,0,,1,,,8808,5.20%,
,,,,,,,,,,,,,,,,
,,,,,IND,,,1,0,,0,,,25316,14.94%,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 6,2,,2,,,169457,,
,,,,,,,,,,,,,,,,
,Bila,spur,,(,Single,Member,:,1 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,IND,,,1,1,,,,,Uncont,ested,
,,,,,,,,,,,,,,,,
State/UT,total (Contestant,"s, Seats","Won, F",D,in Sea,"ts, Valid",Vot,es) 1,1,,,,,,,
,,,,,,,,,,,,,,,,
,C,oorg,,(,Single,Member,:,1 Double M,ember,:,,),,,,
,,,,,,,,,,,,,,,,
,,,,,INC,,,1,1,,0,,,38063,59.65%,
